property_type,state,lat,lon,area_m2,price_mxn
house,Nuevo León,25.6910283,-100.3568071,340,5900000
house,Jalisco,20.594706,-103.396278,90,980000
house,Veracruz de Ignacio de la Llave,23.634501,-102.552788,148,1550000
house,Puebla,18.989918,-98.2295,220,1700000
house,Puebla,19.043993,-98.25757,188,1500000
house,Hidalgo,20.1213329,-98.7818531,66,650000
house,Estado de México,,,90,1354548
house,Nayarit,20.733392,-105.288009,172,2250000
apartment,Distrito Federal,19.400249,-99.177444,150,5200000
house,Puebla,,,226,3000000
house,Yucatán,21.023252,-89.614571,300,3100000
house,Hidalgo,20.124367,-98.735725,176,1567000
house,Veracruz de Ignacio de la Llave,25.510947,-103.357724,146,900000
apartment,Distrito Federal,19.480501,-99.178139,70,870000
house,Yucatán,21.030668,-89.599258,305,3600000
house,Querétaro,20.679045,-100.341225,157,1950000
house,Aguascalientes,21.9633957,-102.343524,146,790000
house,Baja California,32.469498,-116.96022,111,650000
house,Puebla,,,129,1189000
house,Tamaulipas,22.329824,-97.880325,138,1580000
apartment,Yucatán,21.039522,-89.563911,145,2399634
house,Chiapas,19.701769,-101.145103,120,650000
apartment,Guerrero,16.870413,-99.873192,150,3650000
house,Morelos,,,250,4800000
house,Estado de México,19.765149,-98.646915,380,1990000
apartment,Distrito Federal,19.372248,-99.133377,65,1074852
house,Distrito Federal,19.280767,-99.033615,349,1811525
house,Chiapas,,,170,990000
apartment,Distrito Federal,19.389791,-99.164696,154,5000000
house,Yucatán,21.039522,-89.563911,350,3050000
house,Estado de México,19.668947,-99.224525,90,760000
house,Puebla,19.009069,-98.196693,148,1700000
house,Baja California,32.494823,-117.016725,92,980000
apartment,Distrito Federal,19.314545,-99.140672,122,4650000
house,San Luis Potosí,22.1447396,-101.0273412,166,1900000
house,Jalisco,20.64338,-103.431613,120,1350000
house,Querétaro,,,155,2250000
house,Baja California,30.733356,-115.984407,200,1700000
house,Estado de México,19.553615,-99.248715,260,2800000
apartment,Distrito Federal,19.405298,-99.164986,80,4280000
house,Querétaro,20.5969621,-100.3337597,193,2250000
house,Puebla,,,212,2700000
house,Morelos,23.634501,-102.552788,115,1080000
house,Distrito Federal,19.34016,-99.194081,90,1519125
house,Yucatán,21.075163,-89.516731,185,1430000
house,Tamaulipas,22.257896,-97.86808,200,2700000
apartment,Guerrero,16.8531086,-99.8236533,138,1300000
house,Puebla,19.027384,-98.265213,160,2300000
house,Estado de México,19.309069,-99.602311,146,1900000
apartment,Puebla,,,180,3790000
house,Sinaloa,23.20485,-106.424401,200,2250000
house,Chihuahua,28.631943,-106.117668,170,1550000
house,Yucatán,21.0399331,-89.5965747,235,2436155
house,Morelos,,,185,1400000
house,Guerrero,16.8808724,-99.9359641,104,850000
house,Baja California Sur,24.125583,-110.330846,128,1790000
house,Chihuahua,,,130,1200000
house,Estado de México,19.269808,-99.593781,238,3750000
apartment,Distrito Federal,19.41498,-99.177444,164,5500000
house,Yucatán,20.996355,-89.583946,248,2400000
house,Morelos,18.954132,-99.266083,85,1050000
house,Estado de México,19.494789,-99.270887,151,2010000
house,Guerrero,17.6474239,-101.5455504,119,2376400
house,Estado de México,19.2666119,-99.6403991,191,2200000
house,Quintana Roo,21.161908,-86.8515279,210,1975000
apartment,Distrito Federal,19.377171,-99.188503,72,2028000
apartment,Distrito Federal,19.2790911,-99.2114234,76,771282
house,Jalisco,20.660534,-103.318809,345,1300000
house,Veracruz de Ignacio de la Llave,20.95618,-97.408578,112,2000000
house,San Luis Potosí,22.141575,-100.900192,229,2148600
apartment,Distrito Federal,19.443178,-99.20237,115,4535000
house,Yucatán,21.05258302,-89.53863859,168,1533516
house,Estado de México,19.621174,-99.148073,100,700000
house,Puebla,18.915431,-98.435252,200,1890000
house,Estado de México,,,215,1984620
house,Yucatán,,,130,2095000
house,Tabasco,17.962037,-92.973569,139,1250000
apartment,Distrito Federal,19.30102797,-99.14421916,108,1650000
apartment,Puebla,,,68,788536
apartment,Veracruz de Ignacio de la Llave,20.949051,-97.364006,300,3700000
house,Estado de México,19.627731,-99.30194,146,870000
house,Baja California Sur,24.03902146,-110.3097618,250,2950000
house,Quintana Roo,21.112447,-86.85264,180,2500000
apartment,Distrito Federal,19.451872,-99.173522,70,1270000
house,Morelos,18.913485,-99.240456,80,1300000
house,Morelos,18.840925,-98.934196,110,1800000
apartment,Distrito Federal,19.3819271,-99.1891539,90,3390500
house,Veracruz de Ignacio de la Llave,25.558637,-103.449786,250,2200000
house,Jalisco,20.764135,-103.339958,140,1600000
apartment,Distrito Federal,19.385989,-99.186285,107,1507500
house,San Luis Potosí,,,360,5300000
house,Chihuahua,28.6329957,-106.0691004,290,3715000
house,Puebla,18.996482,-98.239653,100,750000
apartment,Distrito Federal,19.401507,-99.14682,65,1730000
house,Querétaro,20.726007,-100.442642,135,2200000
house,Morelos,18.795519,-99.231445,165,1780000
house,Morelos,18.885848,-98.973834,82,1438200
house,Estado de México,,,90,626000
house,Aguascalientes,,,235,2200000
apartment,Puebla,,,140,2550000
house,Querétaro,20.403807,-99.990905,110,1180000
house,San Luis Potosí,22.134478,-100.929138,97,775000
house,Querétaro,,,90,856800
house,Estado de México,19.5562275,-99.2674713,64,999999
apartment,Querétaro,20.726007,-100.442642,173,4400000
house,Nuevo León,25.757803,-100.404541,179,1890000
house,San Luis Potosí,22.1593377,-101.0443504,187,1900000
house,Querétaro,20.726007,-100.442642,180,2430000
house,Distrito Federal,19.475765,-99.145,270,2500000
house,Querétaro,20.6490506,-100.4393293,380,5700000
house,Puebla,19.060701,-98.329774,255,2650000
house,Veracruz de Ignacio de la Llave,25.365447,-100.9942,167,1444000
apartment,Guerrero,23.634501,-102.552788,180,2000000
house,Baja California,32.589504,-115.363762,86,790000
apartment,Distrito Federal,19.383952,-99.160229,110,3350220
house,Puebla,18.97302,-98.206238,210,2850000
apartment,Baja California Sur,24.16478214,-110.3053683,71,800000
apartment,Yucatán,21.072905,-89.65963,210,1976250
house,Morelos,,,81,1000000
house,Sinaloa,,,224,1850000
house,Sonora,,,150,1638000
apartment,San Luis Potosí,,,220,2250000
house,Nuevo León,25.758963,-100.316811,175,1250000
house,Puebla,19.0378006,-98.3007086,165,2120000
house,Morelos,,,185,1600000
house,Distrito Federal,19.3870644,-99.0362059,300,2550000
house,Estado de México,19.5329337,-99.164866,290,4650000
house,Veracruz de Ignacio de la Llave,,,225,2800000
house,Tlaxcala,19.29712,-98.255075,160,1300000
house,Morelos,,,150,1580000
house,Veracruz de Ignacio de la Llave,,,155,1700000
house,Morelos,23.634501,-102.552788,110,1300000
house,Querétaro,20.70706703,-100.4718161,309,3700000
house,Puebla,19.046589,-98.102929,92,630000
house,Nuevo León,25.7394971,-100.2754971,164,1250000
house,Veracruz de Ignacio de la Llave,19.100079,-96.121007,220,2850000
house,Morelos,,,144,805000
house,San Luis Potosí,22.147087,-100.960213,105,1100000
apartment,San Luis Potosí,,,169,2890000
house,Guanajuato,21.1264477,-101.611078,250,2290000
house,Morelos,18.917542,-98.963181,140,1450000
house,Distrito Federal,19.472128,-99.146697,190,1943000
house,Estado de México,19.234984,-99.558175,115,2100000
house,Puebla,18.9187144,-98.4266391,90,890000
house,Yucatán,21.075163,-89.516731,185,1695000
